id,price,is_rent,area,province,district,ward,floor,bedroom,toilet
21936,6800000000,0,148.0,79,764,26869,0,4,5
12611,29000000000,0,126.0,79,778,27472,3,3,3
12617,970000000,0,57.0,79,778,27481,2,3,3
17078,5000000000,0,61.0,79,778,27472,0,3,3
22476,6850000000,0,57.0,79,764,26884,0,4,5
12647,3980000000,0,-1.0,79,786,27643,0,2,2
20934,8000000000,0,-1.0,79,765,26908,0,4,5
12657,55000000000,0,666.0,79,778,27490,4,30,20
12666,21000000000,0,111.0,79,778,27490,5,6,6
20939,69000000000,0,-1.0,79,760,26746,0,2,2
12687,25000000000,0,111.0,79,778,27490,6,5,5
12700,46000000000,0,126.0,79,778,27490,0,6,6
12774,1450000000,0,-1.0,79,775,27349,0,2,2
21937,15500000000,0,70.0,79,765,26920,0,5,5
21938,1130000000,0,136.0,79,766,27007,0,3,2
12743,3900000000,0,-1.0,79,786,27643,0,2,2
12744,3800000000,0,-1.0,79,786,27643,0,2,2
12745,4100000000,0,-1.0,79,786,27643,0,2,2
12746,4000000000,0,-1.0,79,786,27643,0,2,2
12777,1850000000,0,72.0,79,775,27349,0,2,2
12750,4350000000,0,95.0,79,786,27643,0,2,2
12754,27000000000,0,238.0,79,778,27490,0,3,2
12759,1055000000,0,83.0,79,775,27349,0,2,2
12761,1055000000,0,77.0,79,775,27349,0,2,2
12762,4100000000,0,-1.0,79,786,27643,0,2,2
12763,4800000000,0,100.0,79,786,27643,0,3,2
12764,1725000000,0,-1.0,79,775,27349,0,2,2
20955,6200000000,0,120.0,79,765,26908,0,3,2
12769,1300000000,0,-1.0,79,775,27349,0,2,2
12770,1650000000,0,-1.0,79,775,27349,0,2,2
15883,20000000000,0,180.0,79,775,27358,3,5,5
20957,21000000000,0,600.0,79,765,26905,0,27,0
13220,28000000000,0,111.0,79,778,27490,0,4,5
12781,2300000000,0,72.0,79,775,27349,0,2,2
20959,11000000000,0,210.0,79,778,27481,0,4,4
12787,12450000000,0,83.0,1,268,9886,4,7,7
11043,13500000000,0,-1.0,79,778,27490,0,3,2
12802,13599000000,0,90.0,1,268,9886,0,4,4
12805,13500000000,0,90.0,1,268,9886,4,4,4
15886,20000000000,0,180.0,79,775,27358,0,5,5
15889,3000000000,0,42.0,1,17,514,0,0,0
